City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,48.52,65,24,10.56,AU,1687925194
1,kapuskasing,49.4169,-82.4331,55.49,54,0,5.75,CA,1687925101
2,lebu,-37.6167,-73.65,47.66,86,100,3.83,CL,1687924937
3,ghardaia,32.4909,3.6735,81.75,26,0,0.0,DZ,1687925196
4,miles city,46.4083,-105.8406,63.57,88,0,5.75,US,1687925196
5,alesund,62.4723,6.1549,58.91,90,0,5.75,NO,1687925196
6,bethel,41.3712,-73.414,69.49,87,96,3.18,US,1687925103
7,yemva,62.59,50.8594,61.48,68,83,6.82,RU,1687925197
8,port elizabeth,-33.918,25.5701,61.11,97,40,14.97,ZA,1687925008
9,utrik,11.2278,169.8474,82.63,81,90,17.27,MH,1687925198
10,west island,-12.1568,96.8225,80.58,65,100,14.97,CC,1687925198
11,wailua homesteads,22.0669,-159.378,81.03,80,75,14.97,US,1687925199
12,ryotsu-minato,38.0833,138.4333,72.61,94,100,9.06,JP,1687925199
13,bikenibeu village,1.3673,173.1241,84.16,79,75,3.44,KI,1687925201
14,grand falls-windsor,48.9332,-55.6649,53.51,89,100,1.99,CA,1687925075
15,iqaluit,63.7506,-68.5145,40.73,86,100,8.05,CA,1687925202
16,buala,-8.145,159.5921,82.4,78,98,6.91,SB,1687925203
17,waitangi,-43.9535,-176.5597,54.82,96,100,10.0,NZ,1687925203
18,carnarvon,-24.8667,113.6333,63.95,40,0,18.79,AU,1687925204
19,puerto natales,-51.7236,-72.4875,33.3,99,100,0.58,CL,1687925204
20,grytviken,-54.2811,-36.5092,21.02,75,50,8.43,GS,1687925205
21,edinburgh of the seven seas,-37.0676,-12.3116,55.2,78,91,12.64,SH,1687925205
22,mahina,-17.5065,-149.489,82.17,57,20,4.61,PF,1687925205
23,arraial do cabo,-22.9661,-42.0278,70.18,89,0,19.53,BR,1687924932
24,punta arenas,-53.15,-70.9167,33.91,93,100,17.27,CL,1687924943
25,whitehorse,60.7161,-135.0538,70.57,32,75,12.66,CA,1687925196
26,nuuk,64.1835,-51.7216,36.21,100,100,17.27,GL,1687925207
27,khark,29.2614,50.3306,85.78,71,5,3.06,IR,1687925207
28,al ghayzah,16.2079,52.176,84.36,77,73,1.5,YE,1687925208
29,keflavik,64.0049,-22.5624,48.63,93,100,14.97,IS,1687925208
30,adamstown,-25.066,-130.1015,69.1,76,99,27.98,PN,1687925208
